SYMBOL,TOTAL_VOLUME,AVG_VOLUME,MAX_VOLUME,MIN_VOLUME,AVERAGE_OPEN_STOCK,AVERAGE_CLOSE_STOCK,VOLATILITY
PCLN,637358724,632928.226415,3357449,159323,1390.184150943,1390.272641509,24.760193049
REGN,884738553,878588.433962,4581588,12135,412.336247813,412.335821748,12.305754771
GOOGL,2121934159,2107183.871897,12858136,521141,722.819196922,722.559016981,11.433195829
AZO,323425210,321176.971202,2949654,68661,660.302259186,660.246425025,11.351629891
AMZN,3907285439,3880124.567031,23856060,1092970,619.387671301,619.244787488,11.261221946
CMG,908375634,902061.205561,9900096,136870,517.06908143,516.849354518,11.233896922
GOOG,1717579425,1809883.482613,11164943,7932,714.515188093,714.496848156,11.152138462
BIIB,1742291933,1730180.668322,16634140,465774,310.712120159,310.474882224,8.015346276
MTD,173123302,171919.862959,5345986,40862,377.69009434,377.854131082,6.471680139
EQIX,692291291,687478.938431,13250959,99630,308.958609732,309.171056604,5.940108838
AGN,3233995326,3211514.722939,36591279,615628,244.950476564,244.738897716,5.91091003
BLK,624875978,620532.252234,1972566,134441,359.939821251,359.971300894,5.827787488
ADS,632477861,628081.291956,3380871,94859,250.707075472,250.675124131,5.323812314
CHTR,1702344070,1690510.496524,35466604,177704,224.150655412,224.250779444,5.099079742
ILMN,1401303017,1391562.082423,23572606,218144,173.385769613,173.453025819,4.994095035
ALXN,1846598150,1833761.817279,18836943,335362,151.384642502,151.266017875,4.808890864
PXD,2003462822,1989536.069513,14056076,372901,164.256876862,164.29224429,4.67768858
SHW,714451773,709485.375372,7164665,113598,275.929111221,276.096355511,4.33890864
GWW,679922659,675196.285005,6078266,128285,225.142303972,225.18,4.160234856
TDG,540804312,537044.997021,9761017,85534,228.204741807,228.340268123,4.15548004
AYI,506888363,503364.809335,8821510,72271,185.2382572,185.306703078,4.155016882
ORLY,866451199,860428.201589,12830416,218651,222.557408143,222.62602284,4.113807249
MLM,793360973,787846.050645,18485878,105697,166.053306852,166.119712016,3.991963952
ULTA,986517247,979659.629593,11411000,218841,184.165397219,184.125178749,3.95157001
ISRG,1069184473,1061752.207547,8597421,222798,208.735209434,208.86199434,3.815918967
WYNN,2630372282,2612087.668322,16035586,436994,130.076316683,130.008048659,3.759134558
ESS,406022085,403199.687190,18958032,81842,218.968803376,219.035431976,3.699069215
INCY,1602488276,1591348.834161,33192954,406648,91.172015889,91.150998113,3.661481033
AMG,475325492,472021.342602,8628523,85793,179.792532274,179.720297915,3.651761072
CXO,1520725084,1510154.005958,23881767,374991,119.885610725,119.91836147,3.639099801
HUM,1408145344,1398356.846077,13944912,267781,176.916226415,177.057596822,3.633950348
WHR,968059817,961330.503476,9479958,173089,168.937616683,168.963098312,3.575526812
VRTX,1813384750,1800779.294935,25236837,340914,107.068068091,107.069528302,3.573920577
AVGO,2909966563,2889738.394240,56027993,576169,148.064523337,148.079094836,3.526014101
XEC,1180406559,1172201.150943,13588698,302255,115.316854022,115.334915591,3.490563654
MCK,1626715035,1615407.184707,28158084,326157,179.763450645,179.752641509,3.469583217
MHK,655513628,650956.929494,3824990,127695,190.759170804,190.763430983,3.407418272
PSA,752235733,747006.686197,3807216,218031,207.707874876,207.78230139,3.389668322
GS,3198928046,3176691.207547,12464020,697700,192.210372393,192.233495531,3.223555809
COO,483575770,480214.270109,10840208,96235,173.58091857,173.652522344,3.194265442
PRGO,1665900824,1654320.579940,30032038,224113,126.478406157,126.410685204,3.074044091
AAP,1145267855,1137306.708044,19749515,152415,143.205079444,143.187120159,3.053818967
AMGN,3450940693,3426952.028798,23936848,943079,153.977296524,153.966765144,3.041949255
SPG,1482853781,1472545.959285,4639236,379488,180.734523337,180.714270109,2.957762661
LMT,1466456232,1456262.395233,13962278,320919,224.215456802,224.288083416,2.911528798
NFLX,14474331268,14373715.261172,104500746,1616260,104.118536048,104.138073982,2.884776862
RE,340648474,338280.510427,7583803,72052,192.021583913,192.035014896,2.856686495
ANTM,1870728673,1857724.600794,7619076,357532,143.537462761,143.646881827,2.799732473
HII,335472634,333140.649454,2473492,62616,147.001911619,147.092293942,2.729922939
AVB,771109357,765749.113208,3487728,202135,168.888631778,168.918142999,2.697413803
CELG,5201757363,5165598.175770,69847444,1310275,108.905431976,108.896834062,2.694177656
NOC,1074343031,1066874.906653,5765577,230218,192.420695134,192.515332671,2.673683019
URI,1922223292,1908861.263158,15985621,454125,95.184586495,95.211588878,2.659373585
FDX,1719820769,1707865.709037,8889324,495365,171.070377458,171.108967229,2.602146177
CI,1636276230,1624901.916584,14199699,306591,132.028525323,132.121112214,2.58700854
SIG,1362069406,1352601.197617,18604145,171147,99.539731877,99.502115194,2.550755611
ROP,467541835,464291.792453,4247704,99543,179.541554121,179.660427011,2.540523039
UHS,840645234,834801.622642,13966781,166360,113.910933466,113.959443893,2.533961867
RL,1175357129,1167186.821251,17508098,114981,118.697611718,118.640203575,2.487850844
EXPE,2159974099,2144959.383317,20597371,265998,108.751876862,108.755843098,2.459745283
FFIV,1023174767,1016062.330685,9268864,238048,119.051238928,119.135307944,2.387209434
BA,4009898356,3982024.186693,33735576,788957,154.914144091,154.998619662,2.385313704
CMI,1657532500,1646010.427011,13064058,383487,136.141459782,136.170486594,2.363620655
ANDV,2438969891,2422015.780536,9865384,456926,82.247214499,82.30499007,2.350985402
PVH,1077548575,1070058.167825,5433017,232719,108.457934459,108.389523337,2.350643496
SNA,451967127,448825.349553,2289696,63695,148.579707051,148.594240318,2.329092155
